Last updated 1/4/2021 9:43:57 AM
Procedure ID,HCPCS/CPT Code,Description,Gross Charge,Undiscounted Cash Price
4526,          ,OC EMPLOYEE PHYSICAL    ,97.63,97.63
4548,          ,D O T PHYSICAL          ,110.22,110.22
4571,          ,OC HEP B VAC (3)        ,337.61,337.61
4582,          ,OC FLU SHOT             ,27.09,27.09
6020,0G0109    ,DSMT GROUP EA 30 MIN    ,117.12,117.12
6024,0G0108    ,DSMT INDIVIDUAL EA 30MIN,204.50,204.50
6032,          ,NUTRI CONSULT 30 MIN    ,93.59,93.59
6120,          ,PRENATAL CLASS          ,43.69,43.69
8003,          ,ICU TRAUMA              ,7553.00,7553.00
8004,          ,MED SURG ER HOLD        ,2483.00,2483.00
8005,          ,ORTHO ER HOLD           ,2707.00,2707.00
8006,          ,PEDIATRIC ER HOLD       ,2976.00,2976.00
8007,          ,PSYCH ER HOLD           ,2654.00,2654.00
8008,          ,ICU ER HOLD             ,5393.00,5393.00
8009,          ,TRAUMA ICU ER HOLD      ,7553.00,7553.00
8010,          ,PAVILION ACT            ,2654.00,2654.00
8011,          ,PAVILION ACT ONE ON ONE ,5660.00,5660.00
8012,          ,PAVILION ACT DETOX      ,3652.00,3652.00
9000,          ,COBAN 4"                ,5.50,5.50
19966,          ,BLOCK C/T SPI SGL       ,2859.06,2859.06
19967,          ,SP EX CAROTID ANGIO UNIL,10905.62,10905.62
19968,          ,SP COM CAROTIDANGIO BI  ,10915.44,10915.44
19969,          ,SP COM CAROTIDANGIO UNIL,10905.62,10905.62
19984,          ,SP EX CAROTID ANGIO BI  ,10905.62,10905.62
19985,          ,SP INT CAROTID ANGIO BI ,17834.14,17834.14
19986,          ,SP INT CAROTID ANGIO UNI,17834.14,17834.14
19987,          ,SP SUBCL ANGIO BI       ,10915.44,10915.44
19988,          ,SP SUBCL ANGIO          ,10915.44,10915.44
19989,          ,SP VERT ANGIO BI        ,17834.14,17834.14
19990,          ,SP VERT ANGIO UNILAT    ,17834.14,17834.14
19991,          ,SP EX CARTIDANGIOUNI ADD,6390.11,6390.11
19992,          ,SP EX CARTIDANGIOBI ADD ,6390.11,6390.11
19993,          ,SP INCRAN ANGIO BI      ,6390.11,6390.11
19994,          ,SP INCRAN ANGIO         ,6390.11,6390.11
19997,          ,PRC D-EL COR RVSC CABG A,26571.40,26571.40
19998,          ,PRC D-E COR REVSC CHRN S,26571.40,26571.40
19999,          ,PTCA STENT W ANGIO SGL  ,26571.40,26571.40
20028,078012    ,NM THYROID UPTAKE W STIM,2829.30,2829.30
20034,          ,INJ SI ANES/STD/TH AG   ,2780.43,2780.43
20039,          ,REM NEPHROS TUBE/FLURO  ,2504.18,2504.18
20046,076377    ,3D CT/MRI/US/OTH IND    ,1185.28,1185.28
20129,087801    ,B PERTUSS/PARAPERTUS AMP,1147.87,1147.87
20130,087798    ,BORD PERTUSSIS AMP PR   ,584.55,584.55
20137,083519    ,LEPTIN RIA QN           ,279.88,279.88
20138,084182    ,WESTERN BLOT PROBE B ID ,875.07,875.07
20139,084311    ,HGB ABSORB RATIO QN SPEC,33.65,33.65
20140,085335    ,FACTOR 2 INHIBITOR      ,1013.25,1013.25
20141,085347    ,HEPARIN ASSAY ACT       ,878.61,878.61
20142,085347    ,HEPARIN DOSE RESPONS ACT,878.61,878.61
20143,086000    ,SALMONELLA O GRP B      ,214.34,214.34
20145,087324    ,C DIFFICIL TOXIN A&B EIA,343.66,343.66
20146,089050    ,EOSINOPHILS URINE       ,112.04,112.04
20148,097760GP  ,ORTH MGT TRAIN EA 15M PT,64.56,64.56
20149,097760GN  ,ORTH MGT TRAIN EA 15M SP,64.56,64.56
20150,097760GO  ,ORTH MGT TRAIN EA 15M OT,64.56,64.56
20151,097760GP  ,ORTH MGT TRAIN EA 15M PT,64.56,64.56
20162,0A9537    ,TC99M MEBROFEN DX 15MCI ,449.47,449.47
20163,0A9538    ,TC99M PYROPHOS DX 25MCI ,287.38,287.38
20164,0A9539    ,TC99M PENTETATE DX 25MCI,343.94,343.94
20166,0A9540    ,TC99M MACRO ALB DX 10MCI,443.96,443.96
20167,0A9541    ,TC99M SULFUR CO DX 20MCI,466.75,466.75
20168,0A9547    ,IN111 OXYQUINO DX 0.5MCI,7234.95,7234.95
20169,0A9548    ,IN111 PENTETAT DX 0.5MCI,8175.12,8175.12
20170,0A9556    ,GA67 CITRATE DX 1 MCI   ,485.92,485.92
20171,0A9560    ,TC99M LABEL RBC DX 30MCI,698.71,698.71
20172,0A9562    ,TC99M MERTIATID DX 15MCI,1349.33,1349.33
20174,0A9567    ,TC99M PENT AERS DX 75MCI,496.92,496.92
20175,0A9505    ,TL201 THALLOUS CL DX MCI,322.74,322.74
20193,091035    ,GASTROESOPH RFLX ELECTRD,2897.77,2897.77
20194,096372    ,INJECTION IM OR SQ      ,189.92,189.92
20195,096372    ,INJECTION IM OR SQ      ,262.03,262.03
20201,0G0379    ,DIRECT REFERRAL TO OBS  ,710.26,710.26
20202,0G0378    ,OBS PER HOUR            ,132.89,132.89
20203,0G0379    ,DIRECT REFERRAL TO OBS  ,651.61,651.61
20205,0G0378    ,OBS PER HOUR            ,144.50,144.50
20207,0G0378    ,OBS PER HOUR            ,159.20,159.20
20227,          ,CATHETER DX 100CM 6FR .0,129.00,129.00
20230,0C1894    ,SHEATH FLXR CKFL 7F 70CM,583.00,583.00
20231,0C1894    ,INTRO CONTRLATRL 7FX38X ,692.00,692.00
20244,0C1887    ,CATH GD MPA2 6FR 100CM  ,137.00,137.00
20263,0C1713    ,SCREW BNE CORT 3.5X60   ,167.00,167.00
20273,0C1894    ,SHEATH INTROD 6FR 11CM  ,129.00,129.00
20274,          ,KIT LINE ARTERIAL AK-04 ,512.00,512.00
20277,0G0282    ,EL ST UN WD CR NOT G0281,63.30,63.30
20278,085576    ,PLT FUNCTION-ASPIRIN ASA,302.90,302.90
20280,099465    ,DEL RESUS PPV CHEST COMP,1571.34,1571.34
20284,          ,PERCU-STAY SMALL        ,56.00,56.00
20286,0C1876    ,STENT DUO BRE 22X60X255 ,9507.00,9507.00
20287,0C1874    ,WLSTNT CVR 8FR 10X40    ,8925.00,8925.00
20288,0C1874    ,STNT PRMLM DLVR SYS10X60,8925.00,8925.00
20289,0C1876    ,STENT DUO BRE 22X90X255 ,9507.00,9507.00
20290,          ,BSKT RTRV 12X1X120      ,2064.00,2064.00
20296,          ,TUBE TRACH 8MM XLT DIST ,692.00,692.00
20297,          ,TUBE TRCH CUF 100X12.3X7,692.00,692.00
20299,          ,TUBE TRACH XLT PROX CUFD,692.00,692.00
20303,036430    ,BLOOD TRANSFUSION       ,2505.07,2505.07
20304,          ,EPIDURL STERIOD INJ I HR,2194.43,2194.43
20305,          ,INTERSCALIN NRV BLK 1 HR,2194.43,2194.43
20313,0C1876    ,STENT MED DRIVER 2.5 X 8,5317.00,5317.00
20328,          ,D-STAT DRY PATCH        ,538.00,538.00
20329,0C1887    ,MEDTR GUIDEA6AL175      ,589.00,589.00
20330,0C1757    ,CATH XTRT PRNTO V4 6.0F ,2407.00,2407.00
20342,0C1894    ,SHTH BRTP 6F 55         ,397.00,397.00
20343,0C1894    ,SHTH BRTP 8F 55         ,397.00,397.00
20354,0C1725    ,BLNCUT FLXTM 2X10       ,5436.00,5436.00
20357,0C1725    ,BLNCUT FLXTM 2.75X10    ,5436.00,5436.00
20360,0C1713    ,SCREW CANN 6.5X140X32MM ,1486.00,1486.00
20361,0C1713    ,SCREW CANN 6.5X145X32MM ,1486.00,1486.00
20362,0C1713    ,SCREW CANN 6.5X150X32MM ,1486.00,1486.00
20364,          ,DRESSING DSLV STMBRGR SI,1309.00,1309.00
20366,          ,CANNULA ARTHSCP 7CM     ,345.00,345.00
20368,0C1713    ,PLATE DHS 150 DEGREE 5/9,2263.00,2263.00
20369,0C1713    ,PLATE BRL 206X19X5.8MM  ,3015.00,3015.00
20370,0C1713    ,SCREW CORT ST 4.5X34    ,117.00,117.00
20371,0C1713    ,PLATE BNE DHS 135DD L110,2263.00,2263.00
20372,0C1769    ,GWIRE 2.8X300MM         ,981.00,981.00
20378,0C1713    ,SCREW BN LCK 5X4.4X80MM ,1031.00,1031.00
20379,0C1713    ,SCREW CANN 6.5X130X16MM ,1486.00,1486.00
20380,0C1713    ,SCREW BN 6.5X7.9X2.9X85 ,1711.00,1711.00
20381,0C1713    ,SCREW CANN 6.5X90X16MM  ,1614.00,1614.00
